route_id,service_id,trip_id
100,239,1310229
100,239,1561891
100,239,760540
100,239,877400
100,240,1173614
100,240,85180
100,250,119305
100,250,1260487
100,250,1702178
100,250,24944
100,251,709004
100,286,703549
100,288,1597648
100,295,144947
100,295,1543255
100,295,434076
100,298,1015277
100,298,1043483
100,329,1400897
100,329,90918
100,333,576442
100,338,43482
100,345,1108673
100,345,358562
100,359,1210578
100,359,362842
100,359,592441
100,366,1032650
100,374,1364002
100,382,445129
100,403,1048436
100,403,1227823
100,403,1319220
100,403,1695364
100,403,283989
100,403,352421
100,403,4154
100,403,461714
100,403,795667
100,415,1111210
100,429,232115
100,440,1040594
100,453,1458519
100,457,1147308
100,469,1021670
100,469,1022116
100,469,1115362
100,469,1228453
100,469,151329
100,469,1699037
100,469,345989
100,469,352779
100,469,477805
100,469,662956
100,469,762571
100,469,971985
100,485,1352795
100,49,1172703
100,49,1326045
100,49,1387796
100,49,1532646
100,49,194483
100,49,238998
100,49,281032
100,49,327491
100,49,352514
100,49,357629
100,49,55080
100,49,714232
100,49,730214
100,49,780226
100,49,887297
100,493,1422440
100,502,1007060
100,502,1025304
100,502,1449944
100,502,147179
100,502,164547
100,502,366326
100,502,827379
100,504,1062897
100,504,1067722
100,504,1120729
100,504,1399196
100,504,1635634
100,504,201539
100,504,202364
100,504,822896
100,530,1382184
100,551,450154
100,56,1108749
100,56,1315522
100,56,544676
100,56,947360
100,56,958311
100,562,429409
100,570,736639
100,582,685967
100,593,1149557
100,593,1267508
100,593,1275140
100,593,1303987
100,593,1340055
100,593,1390407
100,593,1508998
100,593,1563297
100,593,1600395
100,593,1638037
100,593,403268
100,593,602494
100,593,628867
100,593,845497
100,593,849041
100,593,870669
100,593,960575
100,593,980291
100,598,774048
100,599,1151573
100,599,1433284
100,599,1543181
100,599,28712
100,599,560479
100,629,1100774
100,629,1515218
100,631,1582639
100,633,1231890
100,633,1484684
100,633,1497506
100,633,1595874
100,633,431200
100,636,1414083
100,650,1007137
100,650,1010441
100,650,1204119
100,650,1257035
100,650,1320259
100,650,1426845
100,650,1494310
100,650,1696186
100,650,183439
100,650,307059
100,655,1580068
100,655,173160
100,655,273502
100,67,1079231
100,67,336548
100,670,1171719
100,670,1404331
100,670,1467480
100,670,1664041
100,670,751801
100,670,8524
100,681,1672872
100,7,1287774
100,704,1373832
100,711,317973
100,711,701956
100,737,1151869
100,737,759826
100,741,1296244
100,743,1249380
100,743,12755
100,743,1385039
100,743,150128
100,743,226201
100,743,245943
100,743,526444
100,743,68436
100,749,1527272
100,751,752312
100,754,1064731
100,754,1176108
100,754,1184524
100,754,1188751
100,754,1197215
100,754,1260536
100,754,1298442
100,754,1363434
100,754,1405520
100,754,1412762
100,754,1450903
100,754,1506227
100,754,1507316
100,754,1559695
100,754,1584804
100,754,1659076
100,754,1659283
100,754,1691817
100,754,179042
100,754,285771
100,754,341012
100,754,352074
100,754,352401
100,754,392335
100,754,50289
100,754,550487
100,754,577468
100,754,72752
100,754,783456
100,754,807440
100,754,810964
100,754,828712
100,754,962472
100,763,1115639
100,763,1137289
100,763,1665005
100,763,874236
100,765,92132
100,767,890249
100,771,1239734
100,771,220646
100,771,515432
100,771,582127
100,787,719256
100,789,40715
100,791,1313264
100,807,1009836
100,807,1191628
100,807,1357893
100,807,1570646
100,808,1387691
100,809,275545
100,828,583135
100,828,889644
100,837,871237
100,848,1452089
100,85,707570
100,855,1026951
100,855,1359320
100,855,1433839
100,855,852250
100,855,875213
100,868,1949
100,868,416885
100,875,1504405
100,916,1273023
100,928,1126036
100,928,1181142
100,928,141942
100,928,1447412
100,928,1619048
100,928,171598
100,928,180649
100,928,196824
100,928,374342
100,928,404568
100,928,521875
100,928,540702
100,928,815356
100,928,87689
100,928,991414
100,930,105227
100,930,1110264
100,930,115600
100,930,1253935
100,930,1289693
100,930,1305686
100,930,1397724
100,930,271828
100,930,688712
100,930,905408
100,940,289595
100,945,59994
100,957,1673984
100,97,1242263
100,97,479152
100,977,214673
100,979,575326
101,813,972357
102,1203,1509979
102,130,239213
102,312,573958
102,504,266226
102,585,410622
102,677,229142
103,102,1431888
103,1155,1485290
103,1226,1653112
103,1263,1611699
103,1263,1666268
103,166,420648
103,182,1417293
103,182,1662857
103,241,952511
103,277,690031
103,316,1201988
103,38,1230219
103,38,1245655
103,38,1450294
103,38,1485866
103,38,265338
103,38,374181
103,38,392378
103,38,873294
103,580,190718
103,609,58245
103,655,496372
103,704,1103486
103,770,859788
103,806,1304613
103,816,1028729
103,816,475935
103,84,530579
103,921,1050409
103,921,1184407
103,921,1283653
103,921,1312397
103,921,1369184
103,921,1387414
103,921,1646248
103,921,1646970
103,921,183012
103,921,322365
103,921,699051
103,921,711256
103,921,873796
103,926,1007331
103,926,1018920
103,926,1117865
103,926,1193912
103,926,1296291
103,926,1580389
103,926,1634497
103,926,187768
103,926,318255
103,926,324326
103,926,561706
103,926,668167
103,926,67006
103,926,886053
103,926,92449
103,940,1107756
103,940,1250927
103,940,1338035
103,940,1376217
103,940,1397306
103,940,1445302
103,940,1627794
103,940,171863
103,940,223782
103,940,290971
103,940,643693
103,940,645387
103,940,68089
103,940,81847
103,998,106456
104,1114,992846
104,631,1697816
104,817,1204041
104,940,252956
104,948,549057
105,1005,339459
105,1005,716464
105,1046,194072
105,1046,29427
