stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Bitterfeld,,417030,51.62286,12.31685,1
Bitterfeld,417030,28761,51.62286,12.31685,
Bludenz,,625613,47.154724,9.814564,1
Bludenz,625613,166496,47.154724,9.814564,
Bochnia,,41189,49.9773,20.430775,1
Bochnia,41189,391469,49.9773,20.430775,
Bochum Hbf,,529421,51.479465,7.223335,1
Bochum Hbf,529421,346762,51.478394,7.222859,
Bochum Hbf,529421,573110,51.47853,7.222715,
Bochum Hbf,529421,602564,51.478607,7.223275,
Bochum Hbf,529421,632344,51.478252,7.223012,
Bohumin,,113563,49.90073,18.359444,1
Bohumin,113563,475160,49.90073,18.359444,
Bolzano/Bozen,,264445,46.496376,11.358791,1
Bolzano/Bozen,264445,201339,46.496376,11.358791,
Bondorf,,69114,48.52327,8.827879,1
Bondorf(b Herrenberg),69114,36803,48.52329,8.827852,
Bondorf(b Herrenberg),69114,547273,48.52328,8.827735,
Bonn Beuel Bf,,34836,50.738476,7.127656,1
Bonn Hbf,,649168,50.732006,7.097131,1
Bonn Hbf,649168,52662,50.731956,7.097364,
Bonn Hbf,649168,538775,50.731754,7.097212,
Bonn Hbf,649168,585543,50.731834,7.097284,
Bonn-Beuel,34836,179941,50.738728,7.126748,
Bonn-Beuel,34836,361192,50.737896,7.12815,
Bonn-Beuel,34836,618948,50.738205,7.127862,
Brandenburg Hbf,272270,293769,52.400276,12.565075,
Brandenburg Hbf,272270,335440,52.40021,12.565134,
Brandenburg Hbf,272270,36464,52.40043,12.565258,
"Brandenburg, Hauptbahnhof",,272270,52.400795,12.566036,1
Bratislava hl.st.,,6611,48.15891,17.106466,1
Bratislava hl.st.,6611,114489,48.15891,17.106466,
Braunschweig Hbf,318146,150319,52.25223,10.540921,
Braunschweig Hbf,318146,573304,52.25216,10.541083,
Braunschweig Hbf,318146,75534,52.25227,10.54085,
"Braunschweig, Hauptbahnhof",,318146,52.252644,10.539547,1
Breclav,,497457,48.7539,16.893236,1
Breclav,497457,134045,48.7539,16.893236,
Breclav(Gr),,536084,48.71265,16.86837,1
Breclav(Gr),536084,336051,48.71265,16.86837,
Bregenz,,562152,47.503002,9.739627,1
Bregenz,562152,489965,47.503002,9.739627,
Bregenz Riedenburg,,164601,47.49291,9.721313,1
Bregenz Riedenburg,164601,480963,47.49291,9.721313,
Bremen Hbf,,354161,53.083256,8.813857,1
Bremen Hbf,354161,179759,53.0835,8.81418,
Bremen Hbf,354161,320923,53.083565,8.81426,
Bremen Hbf,354161,379316,53.082947,8.813447,
Bremen Hbf,354161,528175,53.083275,8.813879,
Bremen Hbf,354161,553344,53.083073,8.813611,
Bremen Hbf,354161,558662,53.08342,8.814067,
Bremen Hbf,354161,577501,53.083355,8.813982,
Brennero/Brenner,,70428,47.002342,11.505426,1
Brennero/Brenner,70428,303161,47.002342,11.505426,
